stasiun,pm10,so2,co,o3,no2,max,critical,categori
DKI1 (Bunderan HI),30,20,10,32,9,32,O3,BAIK
DKI1 (Bunderan HI),27,22,12,29,8,29,O3,BAIK
DKI1 (Bunderan HI),39,22,14,32,10,39,PM10,BAIK
DKI1 (Bunderan HI),34,22,14,38,10,38,O3,BAIK
DKI1 (Bunderan HI),35,22,12,31,9,35,PM10,BAIK
DKI1 (Bunderan HI),46,23,16,32,9,46,PM10,BAIK
DKI1 (Bunderan HI),37,23,26,33,11,37,PM10,BAIK
DKI1 (Bunderan HI),41,26,20,30,11,41,PM10,BAIK
DKI1 (Bunderan HI),52,23,29,24,12,52,PM10,SEDANG
DKI1 (Bunderan HI),24,24,18,25,8,25,O3,BAIK
DKI1 (Bunderan HI),34,31,25,23,8,34,PM10,BAIK
DKI1 (Bunderan HI),27,23,9,33,4,33,O3,BAIK
DKI1 (Bunderan HI),33,26,12,36,8,36,O3,BAIK
DKI1 (Bunderan HI),34,28,13,27,7,34,PM10,BAIK
DKI1 (Bunderan HI),29,22,13,36,8,36,O3,BAIK
DKI1 (Bunderan HI),52,60,19,30,8,60,SO2,SEDANG
DKI1 (Bunderan HI),51,34,21,74,20,74,O3,SEDANG
DKI1 (Bunderan HI),37,29,14,31,6,37,PM10,BAIK
DKI1 (Bunderan HI),61,34,36,58,15,61,PM10,SEDANG
DKI1 (Bunderan HI),47,30,15,33,9,47,PM10,BAIK
DKI1 (Bunderan HI),30,36,14,26,9,36,SO2,BAIK
DKI1 (Bunderan HI),40,36,18,28,15,40,PM10,BAIK
DKI1 (Bunderan HI),41,---,27,19,18,41,PM10,BAIK
DKI1 (Bunderan HI),44,---,24,16,13,44,PM10,BAIK
DKI1 (Bunderan HI),27,---,31,27,12,31,CO,BAIK
DKI1 (Bunderan HI),44,---,51,49,11,51,CO,SEDANG
DKI1 (Bunderan HI),25,---,21,39,13,39,O3,BAIK
DKI1 (Bunderan HI),63,---,27,40,17,63,PM10,SEDANG
DKI1 (Bunderan HI),49,11,23,38,19,49,PM10,BAIK
DKI1 (Bunderan HI),38,12,21,35,20,38,PM10,BAIK
DKI1 (Bunderan HI),44,10,22,25,16,44,PM10,BAIK
DKI2 (Kelapa Gading),31,7,8,41,5,41,O3,BAIK
DKI2 (Kelapa Gading),23,7,9,35,6,35,O3,BAIK
DKI2 (Kelapa Gading),47,7,16,45,8,47,PM10,BAIK
DKI2 (Kelapa Gading),45,7,10,44,8,45,PM10,BAIK
DKI2 (Kelapa Gading),41,7,11,44,6,44,O3,BAIK
DKI2 (Kelapa Gading),54,7,16,41,8,54,PM10,SEDANG
DKI2 (Kelapa Gading),46,7,30,45,8,46,PM10,BAIK
DKI2 (Kelapa Gading),51,8,17,48,8,51,PM10,SEDANG
DKI2 (Kelapa Gading),64,7,24,45,10,64,PM10,SEDANG
DKI2 (Kelapa Gading),43,8,19,32,9,43,PM10,BAIK
DKI2 (Kelapa Gading),44,8,20,35,9,44,PM10,BAIK
DKI2 (Kelapa Gading),34,7,11,34,5,34,PM10,BAIK
DKI2 (Kelapa Gading),37,8,9,35,7,37,PM10,BAIK
DKI2 (Kelapa Gading),32,8,7,35,9,35,O3,BAIK
DKI2 (Kelapa Gading),33,7,11,37,9,37,O3,BAIK
DKI2 (Kelapa Gading),51,7,16,39,10,51,PM10,SEDANG
DKI2 (Kelapa Gading),86,14,26,81,11,86,PM10,SEDANG
DKI2 (Kelapa Gading),41,7,10,44,7,44,O3,BAIK
DKI2 (Kelapa Gading),73,10,50,92,15,92,O3,SEDANG
DKI2 (Kelapa Gading),53,8,13,35,6,53,PM10,SEDANG
DKI2 (Kelapa Gading),34,7,11,30,8,34,PM10,BAIK
DKI2 (Kelapa Gading),62,10,15,44,7,62,PM10,SEDANG
DKI2 (Kelapa Gading),39,8,12,26,8,39,PM10,BAIK
DKI2 (Kelapa Gading),55,10,21,25,7,55,PM10,SEDANG
DKI2 (Kelapa Gading),30,7,24,28,8,30,PM10,BAIK
DKI2 (Kelapa Gading),58,12,30,75,7,75,O3,SEDANG
DKI2 (Kelapa Gading),48,11,10,83,7,83,O3,SEDANG
DKI2 (Kelapa Gading),---,13,24,43,8,43,O3,BAIK
